msg_id,app_protocol,src_port,dst_port,message,timestamp
1,HTTP,50001,80,GET /index.html HTTP/1.1,0.001
2,HTTP,80,50001,HTTP/1.1 200 OK,0.015
3,HTTP,50001,80,GET /style.css HTTP/1.1,0.025
4,HTTP,80,50001,HTTP/1.1 200 OK,0.038
5,HTTP,50001,80,GET /script.js HTTP/1.1,0.050
6,HTTP,80,50001,HTTP/1.1 200 OK,0.062
7,HTTP,50002,80,GET /about.html HTTP/1.1,0.075
8,HTTP,80,50002,HTTP/1.1 200 OK,0.088
9,HTTP,50002,80,GET /contact.html HTTP/1.1,0.100
10,HTTP,80,50002,HTTP/1.1 200 OK,0.113
11,HTTP,50003,80,POST /login HTTP/1.1,0.125
12,HTTP,80,50003,HTTP/1.1 302 Found,0.140
13,HTTP,50003,80,GET /dashboard HTTP/1.1,0.152
14,HTTP,80,50003,HTTP/1.1 200 OK,0.165
15,HTTP,50004,80,GET /images/logo.png HTTP/1.1,0.178
16,HTTP,80,50004,HTTP/1.1 200 OK,0.190
17,HTTP,50004,80,GET /images/banner.jpg HTTP/1.1,0.203
18,HTTP,80,50004,HTTP/1.1 200 OK,0.216
19,HTTP,50005,80,POST /api/users HTTP/1.1,0.228
20,HTTP,80,50005,HTTP/1.1 201 Created,0.242
21,HTTP,50005,80,GET /api/users/1 HTTP/1.1,0.255
22,HTTP,80,50005,HTTP/1.1 200 OK,0.268
23,HTTP,50006,80,GET /products HTTP/1.1,0.280
24,HTTP,80,50006,HTTP/1.1 200 OK,0.293
25,HTTP,50006,80,GET /products/details/1 HTTP/1.1,0.305
26,HTTP,80,50006,HTTP/1.1 200 OK,0.318
27,HTTP,50007,80,POST /cart/add HTTP/1.1,0.330
28,HTTP,80,50007,HTTP/1.1 200 OK,0.343
29,HTTP,50007,80,GET /cart HTTP/1.1,0.355
30,HTTP,80,50007,HTTP/1.1 200 OK,0.368
31,HTTP,50008,80,POST /checkout HTTP/1.1,0.380
32,HTTP,80,50008,HTTP/1.1 200 OK,0.395
33,HTTP,50008,80,GET /order/confirmation HTTP/1.1,0.407
34,HTTP,80,50008,HTTP/1.1 200 OK,0.420
35,HTTP,50009,80,GET /search?q=laptop HTTP/1.1,0.432
